urban,geo1_ca2011,age,sex,marst,nativity,citizen,yrsimm,edattain,labforce,occisco,hrswork1,inctot,incearn
urban,quebec,39,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,16300,0
urban,ontario,72,female,widowed,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,137601,1
urban,new brunswick,36,female,married/in union,foreign-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,0 hours,4700,0
urban,ontario,41,female,married/in union,foreign-born,not a citizen,18,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,9900,8700
urban,quebec,55,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,40 hours,58900,58900
urban,alberta,31,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,45 hours,65300,65300
urban,british columbia,45,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,20 hours,7400,5100
urban,alberta,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,15100,15100
urban,ontario,61,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,49801,1
urban,ontario,64,male,separated/divorced/spouse absent,foreign-born,naturalized citizen,38,university completed,"no, not in the labor force",niu (not in universe),0 hours,36000,0
rural,ontario,17,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,0 hours,12100,11400
urban,ontario,68,female,widowed,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,45600,0
urban,alberta,25,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",35 hours,7000,6800
urban,ontario,85,female,widowed,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,26000,0
urban,quebec,33,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,79600,77600
rural,nova scotia,26,female,married/in union,foreign-born,not a citizen,2,secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,10500,7100
rural,nova scotia,58,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,31800,15600
rural,alberta,27,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,51500,49600
rural,ontario,68,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,48700,100
urban,alberta,56,male,married/in union,foreign-born,naturalized citizen,38,secondary completed,"yes, in the labor force",crafts and related trades workers,0 hours,85100,85100
urban,british columbia,20,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,30 hours,16400,15900
urban,british columbia,50,male,married/in union,foreign-born,naturalized citizen,33,secondary completed,"yes, in the labor force",elementary occupations,22 hours,35200,19100
urban,alberta,51,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,102600,102600
urban,quebec,69,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,42100,29200
urban,ontario,20,female,single/never married,foreign-born,naturalized citizen,13,secondary completed,"yes, in the labor force",clerks,0 hours,1200,600
urban,quebec,59,female,single/never married,foreign-born,naturalized citizen,8,secondary completed,"yes, in the labor force",elementary occupations,40 hours,27801,14200
rural,quebec,57,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,40 hours,23500,14600
rural,manitoba,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",skilled agricultural and fishery workers,16 hours,9000,9000
urban,quebec,30,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,0 hours,53901,50100
urban,ontario,37,female,single/never married,foreign-born,not a citizen,4,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,26300,25100
rural,british columbia,61,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,82700,74800
urban,quebec,58,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,36900,2600
urban,alberta,30,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,37 hours,85000,84500
urban,alberta,47,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force",crafts and related trades workers,46 hours,5000,5000
urban,ontario,48,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,30 hours,14200,11200
urban,quebec,44,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,36 hours,34100,33500
rural,manitoba,37,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,82600,80800
rural,quebec,76,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,0 hours,17500,2800
urban,alberta,26,female,married/in union,foreign-born,naturalized citizen,28,university completed,"yes, in the labor force",technicians and associate professionals,0 hours,80900,80900
urban,saskatchewan,48,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,42100,41300
rural,ontario,38,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,45 hours,82600,77700
rural,alberta,63,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force","legislators, senior officials and managers",45 hours,80200,78400
urban,quebec,56,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",plant and machine operators and assemblers,0 hours,65400,66300
urban,ontario,21,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,13 hours,12600,12600
urban,british columbia,53,female,married/in union,foreign-born,naturalized citizen,28,secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,99800,92800
urban,ontario,26,male,single/never married,foreign-born,naturalized citizen,8,secondary completed,"yes, in the labor force",niu (not in universe),0 hours,12200,0
urban,ontario,30,female,married/in union,foreign-born,not a citizen,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,20 hours,19600,17800
urban,ontario,21,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,0 hours,17500,16400
rural,new brunswick,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,4 hours,5000,5000
urban,quebec,18,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,400,0
urban,alberta,40,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",48 hours,77601,77200
urban,british columbia,43,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,8700,8700
urban,ontario,67,female,married/in union,foreign-born,naturalized citizen,38,secondary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,28600,400
urban,ontario,31,female,separated/divorced/spouse absent,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",professionals,40 hours,17600,16900
rural,nova scotia,85,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,7300,0
urban,ontario,47,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",professionals,0 hours,225600,225500
urban,british columbia,60,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,42800,42800
rural,quebec,55,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,0 hours,37000,10800
rural,nova scotia,40,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,5500,0
rural,quebec,75,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,14800,0
urban,nova scotia,64,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,10100,0
urban,alberta,48,female,single/never married,foreign-born,not a citizen,5,secondary completed,"yes, in the labor force",clerks,8 hours,31700,31300
urban,quebec,68,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,50 hours,31500,16800
urban,british columbia,32,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,50 hours,56800,56800
urban,new brunswick,27,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",professionals,0 hours,6800,6800
urban,british columbia,23,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,12300,11800
urban,ontario,61,female,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,67800,57100
urban,alberta,74,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",20 hours,75500,-10000
urban,ontario,47,female,separated/divorced/spouse absent,foreign-born,naturalized citizen,28,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,24200,23600
urban,newfoundland and labrador,70,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,23700,0
urban,alberta,42,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",crafts and related trades workers,0 hours,28900,19500
urban,quebec,30,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",4 hours,96300,96300
urban,ontario,27,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,16700,15700
rural,alberta,20,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,12700,11400
urban,british columbia,57,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,118800,119200
urban,ontario,34,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,60 hours,67600,67600
rural,quebec,33,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,43700,43700
urban,quebec,26,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,27600,4900
urban,ontario,45,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,30 hours,1300,0
rural,saskatchewan,31,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,4000,0
urban,alberta,19,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,25 hours,16500,16500
urban,ontario,53,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,2400,0
urban,ontario,20,male,single/never married,foreign-born,naturalized citizen,18,university completed,"no, not in the labor force",niu (not in universe),0 hours,1500,400
urban,ontario,80,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,134800,0
urban,quebec,16,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",elementary occupations,0 hours,1900,1900
urban,new brunswick,29,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,39900,39900
urban,ontario,22,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,600,0
urban,ontario,43,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,50200,50200
rural,quebec,18,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,8600,8600
urban,ontario,57,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",plant and machine operators and assemblers,38 hours,15400,14700
rural,quebec,58,female,married/in union,foreign-born,naturalized citizen,41,university completed,"yes, in the labor force",professionals,35 hours,23300,24000
urban,nova scotia,65,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,38300,28700
urban,ontario,85,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,24900,100
urban,british columbia,35,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,500,0
urban,alberta,32,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,274900,269200
urban,ontario,53,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,600,0
rural,nova scotia,68,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,24100,0
rural,quebec,52,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,24900,19600
rural,ontario,58,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,26701,1
urban,ontario,49,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,54500,53600
urban,ontario,42,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,23500,0
urban,ontario,21,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,46 hours,15800,14300
urban,quebec,23,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,16700,7600
urban,ontario,80,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,9000,0
urban,ontario,25,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,29500,28500
urban,alberta,41,female,married/in union,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force",service workers and shop and market sales,25 hours,16900,16900
rural,ontario,35,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,2600,0
urban,manitoba,60,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,11000,0
urban,quebec,55,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,37 hours,59700,51700
rural,nova scotia,57,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,13000,0
urban,ontario,73,female,married/in union,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,9000,0
urban,quebec,29,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,0 hours,53800,29700
urban,quebec,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,16 hours,1200,1200
urban,british columbia,57,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,45000,0
urban,ontario,53,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,40 hours,45500,45100
rural,quebec,66,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,8000,0
urban,british columbia,75,male,married/in union,foreign-born,naturalized citizen,41,university completed,"no, not in the labor force",niu (not in universe),0 hours,61800,1000
urban,ontario,52,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,60 hours,62800,62100
rural,quebec,70,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,48100,0
urban,alberta,49,female,married/in union,foreign-born,naturalized citizen,8,secondary completed,"yes, in the labor force",niu (not in universe),0 hours,3900,0
urban,quebec,21,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",clerks,25 hours,8800,8300
rural,new brunswick,60,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",elementary occupations,0 hours,7500,0
urban,british columbia,27,female,married/in union,foreign-born,not a citizen,4,university completed,"yes, in the labor force",service workers and shop and market sales,20 hours,3300,3100
urban,ontario,80,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,74300,0
urban,quebec,43,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,111200,110600
urban,newfoundland and labrador,76,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10900,0
urban,ontario,22,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,6900,6000
urban,ontario,35,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,35 hours,64500,60100
urban,newfoundland and labrador,36,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,20 hours,300,0
urban,quebec,63,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,4600,-7600
urban,ontario,36,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,26100,5700
urban,ontario,62,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,4100,0
urban,quebec,80,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,19400,0
rural,ontario,32,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,50 hours,48800,40100
rural,manitoba,33,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,0 hours,47800,22100
urban,quebec,27,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,30 hours,69400,69400
urban,ontario,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,16 hours,6200,6200
urban,nova scotia,45,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,21800,6600
rural,ontario,23,male,single/never married,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,21000,19100
urban,british columbia,31,female,single/never married,foreign-born,not a citizen,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,500,0
urban,british columbia,22,female,single/never married,foreign-born,naturalized citizen,13,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,3500,0
urban,ontario,64,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",plant and machine operators and assemblers,0 hours,47300,3500
urban,ontario,51,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,20 hours,28101,27400
urban,ontario,22,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",skilled agricultural and fishery workers,0 hours,600,0
urban,ontario,32,female,single/never married,foreign-born,naturalized citizen,4,university completed,"yes, in the labor force","legislators, senior officials and managers",0 hours,3700,1700
urban,british columbia,52,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",niu (not in universe),0 hours,40301,0
urban,nova scotia,36,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,57200,57200
urban,quebec,27,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,26600,24400
